a,b,rmean,smean,imean,sigma1,sigma2,sigma3
1.405283643570724,-0.7801608915941208,-0.09250182536931503,2.1606190713751463,3.402990188413045,0.0634981783196481,0.2986993932809615,0.20149308350820797
1.4900495721638796,-0.8261354816894092,-0.12113398073782491,2.1416208651200126,3.397490408954997,0.05584293162238006,0.3047808256816083,0.21571729736714365
1.409539916961139,-0.7924292054484414,-0.09784578139878605,2.1554895371519094,3.4008325661384,0.054651647442617766,0.3014797247158894,0.20229139450177377
1.4338296702308497,-0.7825076743346095,-0.10123936136710264,2.154065766067959,3.3920975733762737,0.06252893330420155,0.301380607328633,0.2024320588072378
1.3294362636489512,-0.7768620241589635,-0.08467380110713345,2.158103588339501,3.3902622963117692,0.056268681850303655,0.3051780861577028,0.20670832158868946
1.4267983214207303,-0.8214563766690912,-0.09211686309878506,2.1644255997345425,3.4092903351200263,0.062036111936965746,0.28597559821677276,0.19168227839743923
1.4447826331213112,-0.8402989787304848,-0.1240672140207801,2.151293402390561,3.4163360888133023,0.062215109707898536,0.3314184602395223,0.20622986633926982
1.3435752655277167,-0.7592248326551356,-0.06469782738777882,2.1755826580356463,3.401029776241404,0.06197852816173054,0.3073014362284343,0.18810062206745892
1.3672165093359865,-0.7706157444490979,-0.09776976818530116,2.1512939606690944,3.395196280551969,0.06060460165475351,0.2853043558488509,0.2034507641419956
1.3443864193719457,-0.778859908612763,-0.07827280872503063,2.158891993407959,3.389451698028684,0.059279678150602214,0.2851391971022747,0.19817247389689874
1.4879663216622971,-0.7829069245439377,-0.08077338596903172,2.164789522643312,3.3907671935727475,0.06250519141452103,0.2868916283996022,0.19530724889033926
1.4914699848890018,-0.8633378510492467,-0.10712518445131208,2.1686971516946203,3.423236669079936,0.0617083699745115,0.31628852349149783,0.18452708268045134
1.3953718472383079,-0.8259733253205257,-0.09351747722267141,2.1641669002900352,3.402111312002888,0.06281009682634865,0.28685622570088837,0.19539969736864576
1.4024672988482076,-0.7754231677386841,-0.08566869773621139,2.1662285014217217,3.406408414056614,0.058438411190389804,0.28807421470447403,0.19047595285442973
1.506219059753154,-0.840808690340274,-0.09333383304529319,2.1677079431994635,3.408577319879161,0.06095088459101033,0.2939536733831811,0.19193778931612426
1.4313543011174883,-0.7821762482636849,-0.10203373373610537,2.147843688850134,3.381869801164753,0.05898148612487307,0.28603108151760626,0.21157596592978078
1.4292642983516541,-0.742352289779935,-0.07793176663559215,2.1634738873982813,3.3841031164677706,0.056019917635697074,0.2873477300756727,0.19430315258581388
1.4514629858563892,-0.8394918096244776,-0.09962940341803331,2.1596546746152745,3.4055448995389024,0.05797336791117977,0.29093892217021516,0.19707262646778212
1.3926182739617115,-0.7884748872188294,-0.10295875418336412,2.139528310268328,3.373690588982913,0.0585075327681841,0.28294821921726687,0.2226694847857927
1.2685065959276491,-0.7810161561223281,-0.08115965277564668,2.165669616816492,3.4052071801203674,0.05985913492194814,0.29854798670564847,0.1885576700330022
1.376854884058657,-0.8038973141226085,-0.08015052170336388,2.161103620255208,3.386954545985841,0.05870625778679592,0.28797287871754623,0.19481410020518608
1.3471649635499647,-0.7711629134917414,-0.07606870637190094,2.169999215925801,3.3937081106583795,0.06239984064147872,0.29458755135546955,0.19110140026914096
1.3643359680398135,-0.7691179275663198,-0.085439181079336,2.1485329202319963,3.376373140749567,0.05906084161130668,0.28375512098780953,0.21628779721307875
1.7,-0.8576268979005087,-0.12084689706290276,2.1616447730127075,3.4165896412465595,0.06410980552843656,0.30752158105670796,0.19024052270058706
1.4466219532059224,-0.7915517976355758,-0.07868536837150023,2.167778311298775,3.3920796603345074,0.06317120155653153,0.28494345762255646,0.19268575400782348
1.3545971917485262,-0.7573464081487792,-0.08630805732723532,2.160045369991545,3.394178745412949,0.059693467621363724,0.29882774998645495,0.20116826698062845
1.3101281122632569,-0.7895182531380189,-0.08438050279959769,2.166001208384031,3.4112156273408107,0.060055725126350976,0.29535894324488937,0.18959477660251378
